source_key,citation,year,setting,body,epoch,value_as_published,units_as_published,tmol_per_yr_lo,tmol_per_yr_hi,kind,estimate_group,attribution,source_locator,note
schindler_kasting_2000,Schindler & Kasting 2000,2000,submarine_volcanism,earth,modern,~10^-2,Tmol/year,0.01,0.01,realized_modelled,submarine_volcanism_global,original,"Thompson+2022 SI ""Higher Temperature""",CH4/CO2 ratio in MOR vent fluids x outgassed carbon flux
etiope_lollar_2013,Etiope & Sherwood Lollar 2013,2013,surface_volcanism,earth,modern,,,,,not_extracted,surface_volcanism_global,computed_by_thompson2022,"Thompson+2022 SI ""Higher Temperature""",Thompson scaled per-volcano flux by ~1500 active volcanoes; no global value stated in SI narrative
ryan_2006,Ryan et al. 2006,2006,surface_volcanism,earth,modern,,,,,not_extracted,surface_volcanism_global,computed_by_thompson2022,"Thompson+2022 SI ""Higher Temperature""",same scaling procedure as Etiope & Lollar; no global value stated in SI narrative
cannat_2010,Cannat et al. 2010,2010,mor_slow_spread,earth,modern,2.5 x 10^-2,Tmol/year,0.025,0.025,realized_observational,mor_global,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",serpentinization-related CH4 at slow-spreading ridges
keir_2010,Keir 2010,2010,mor,earth,modern,2 x 10^-2,Tmol/year,0.02,0.02,realized_observational,mor_global,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",global CH4 flux from mid-ocean ridges
catling_kasting_2017_axial,Catling & Kasting 2017,2017,mor_axial,earth,modern,0.015,Tmol/year,0.015,0.015,realized_observational,mor_global,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",hot axial vents; from East Pacific Rise CH4/CO2 fluid concentrations
catling_kasting_2017_offaxis,Catling & Kasting 2017,2017,mor_offaxis,earth,modern,0.03,Tmol/year,0.03,0.03,realized_observational,mor_global,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",off-axis vent fields; from H2 flux x CH4/H2 ratio in ultramafic vents
guzman_marmolejo_2013_1me,Guzman-Marmolejo et al. 2013,2013,hydrothermal,earth,modern,0.18,Tmol/year,0.18,0.18,realized_modelled,hydrothermal_global,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",1 M_earth; accounts for FeO supply rate via crustal production and CO2 limitation
guzman_marmolejo_2013_5me,Guzman-Marmolejo et al. 2013,2013,hydrothermal,super_earth_5me,modern,0.35,Tmol/year,0.35,0.35,realized_modelled,,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",5 M_earth planet; crustal production scaled from Earth by a power law. NOT an Earth estimate
kasting_2005_present,Kasting 2005,2005,mor_offaxis,earth,modern,~0.1,Tmol/year,0.1,0.1,realized_modelled,mor_global,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",extrapolated from observed CH4 in hydrothermal fluids; assumes larger water circulation than Catling & Kasting 2017
kasting_2005_hadean,Kasting 2005,2005,mor_offaxis,earth,hadean,~1.5,Tmol/year,1.5,1.5,realized_modelled,,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",Hadean; NOT a modern estimate. Thompson include only this Hadean value in their Fig 4/Table S2
