column,ci_width_dex,configuration,configuration_verified,note
1,1.5,no species fixed,yes,"caption states column 1 is the posterior width shown in their Figure 4"
2,1.1,CH4 fixed,yes,"main text: fixing PCH4 alone shrinks the width by ~27%, from 1.5 to 1.1"
3,1.6,,no,
4,1.2,,no,
5,1.4,,no,
6,1.4,,no,
7,1.0,,no,
8,0.9,,no,
9,0.6,,no,
10,1.1,,no,
11,0.8,,no,
12,0.6,,no,
13,1.1,,no,
14,0.3,,no,
15,0.7,,no,
16,0.6,,no,
17,0.1,,no,"smallest width in the table; main text says decisive constraints require PCH4, PCO and PO2, so this is probably that configuration, but the column-to-tick alignment could not be recovered reliably from the PDF"
18,0.7,,no,
19,0.6,,no,
20,0.2,,no,
21,1.3,all species except CH4 fixed,yes,"consistent with the main-text claim that PCH4 is the largest single contributor to the flux uncertainty"
